,"IR Spectrum 2/O-PTIR","IR Spectrum 3/O-PTIR","IR Spectrum 4/O-PTIR","IR Spectrum 5/O-PTIR","IR Spectrum 6/O-PTIR","IR Spectrum 7/O-PTIR"
1281,3.30041670799255,4.4905858039856,1.88072037696838,0.375992119312286,1.65529203414917,1.62439608573914
1283,3.3161928653717,4.60174703598022,1.99564754962921,0.427366077899933,1.72254371643066,1.69485425949097
1285,3.3578565120697,4.6021876335144,2.06520414352417,0.424225062131882,1.75077402591705,1.73204219341278
1287,3.43856430053711,4.61194801330566,2.07417488098145,0.455345779657364,1.77130925655365,1.70242583751678
1289,3.58784484863281,4.69578981399536,2.07049632072449,0.50938469171524,1.82355380058289,1.73084831237793
1291,3.71664524078369,4.82245540618896,2.16197919845581,0.536235570907593,1.83128237724304,1.8263646364212
1293,3.84331750869751,4.94110012054443,2.26102876663208,0.514145731925964,1.85955333709717,1.90795600414276
1295,3.99868273735046,5.10717582702637,2.3822546005249,0.534588932991028,1.85722899436951,1.96583914756775
1297,4.09457683563232,5.27862787246704,2.47579193115234,0.637611746788025,1.91844606399536,2.02355313301086
1299,4.13933753967285,5.41582584381104,2.56871247291565,0.661680102348328,2.03961086273193,2.09600424766541
1301,4.31344175338745,5.55551910400391,2.65046119689941,0.656676948070526,2.11141777038574,2.19446015357971
1303,4.47623348236084,5.77483320236206,2.75505471229553,0.762362420558929,2.20412230491638,2.26099348068237
1305,4.60655832290649,6.00992393493652,2.85617303848267,0.802081227302551,2.31744432449341,2.41341423988342
1307,4.84759473800659,6.28511905670166,2.92556357383728,0.817509293556213,2.38738536834717,2.52482891082764
1309,5.04497957229614,6.50242614746094,3.02060675621033,0.87233692407608,2.475665807724,2.60606670379639
1311,5.12755155563354,6.72498559951782,3.15833950042725,0.856989562511444,2.55478096008301,2.66227865219116
1313,5.17652988433838,6.84609889984131,3.22964811325073,0.864971935749054,2.55876445770264,2.72391796112061
1315,5.20129728317261,6.86995220184326,3.17228198051453,0.927980959415436,2.50954747200012,2.75574898719788
1317,5.23064136505127,6.85743379592896,3.15328550338745,0.946762681007385,2.50557017326355,2.78204560279846
1319,5.23558235168457,6.93690395355225,3.17841577529907,0.961203396320343,2.51601386070251,2.77905917167664
1321,5.3431248664856,7.09135103225708,3.29973435401917,0.978348255157471,2.55385804176331,2.84589099884033
1323,5.50942802429199,7.33505249023438,3.42388558387756,0.967899262905121,2.67619156837463,2.9453296661377
1325,5.66543912887573,7.5700044631958,3.52900648117065,1.01195442676544,2.72676134109497,3.04222631454468
1327,5.86246633529663,7.78865814208984,3.56860589981079,1.08561503887177,2.81369829177856,3.10988616943359
1329,5.95323467254639,7.82772541046143,3.61403441429138,1.13956904411316,2.84352898597717,3.16231918334961
1331,5.92535305023193,7.81407260894775,3.61231327056885,1.09818649291992,2.82484126091003,3.20898842811584
1333,5.8613805770874,7.72868013381958,3.60932588577271,1.0340576171875,2.77931880950928,3.12575697898865
1335,5.82140159606934,7.68248414993286,3.57284688949585,1.01561987400055,2.72314119338989,3.04589867591858
1337,5.77910137176514,7.62128877639771,3.5195689201355,0.997105419635773,2.70696687698364,3.09176182746887
1339,5.6852560043335,7.63554048538208,3.55638933181763,1.01482892036438,2.73669695854187,3.16110801696777
1341,5.82842016220093,7.81407737731934,3.64697885513306,1.01335453987122,2.83799910545349,3.20400357246399
1343,6.02462577819824,8.05081748962402,3.72854900360107,1.03476703166962,2.90732455253601,3.30576348304749
1345,6.17889165878296,8.30544757843018,3.80553388595581,1.07848227024078,2.9886634349823,3.37325739860535
1347,6.36247062683105,8.52448463439941,3.925541639328,1.11068892478943,3.04572606086731,3.44316840171814
1349,6.49055194854736,8.64518356323242,3.94942355155945,1.10465836524963,3.05474734306335,3.55740022659302
1351,6.51902055740356,8.80050468444824,3.99115204811096,1.13718998432159,3.11550140380859,3.58434009552002
1353,6.548180103302,8.91903209686279,4.03283977508545,1.16086935997009,3.14847278594971,3.61460542678833
1355,6.62565183639526,9.03905200958252,4.07985210418701,1.19250702857971,3.17336463928223,3.70192623138428
1357,6.75014543533325,9.22110080718994,4.11461162567139,1.24614775180817,3.2721540927887,3.81267094612122
1359,6.90043497085571,9.42407989501953,4.17440032958984,1.28132295608521,3.36120057106018,3.90414595603943
1361,6.9772629737854,9.57923316955566,4.214599609375,1.30753076076508,3.40539264678955,3.90655589103699
1363,7.07154226303101,9.80460071563721,4.27981090545654,1.27951633930206,3.43824005126953,3.95989155769348
1365,7.15338277816772,9.9559440612793,4.33692502975464,1.29947125911713,3.54628396034241,3.96331334114075
1367,7.15470504760742,9.97609710693359,4.36717939376831,1.31743681430817,3.59458637237549,3.92668318748474
1369,7.18873739242554,10.1169900894165,4.33650827407837,1.30552542209625,3.63678812980652,3.97977066040039
1371,7.21824645996094,10.215259552002,4.34285974502563,1.33569359779358,3.68085765838623,4.00405073165894
1373,7.20833778381348,10.1501131057739,4.33404207229614,1.29639232158661,3.61526584625244,3.9864547252655
1375,7.04093933105469,9.89681911468506,4.25472831726074,1.27905070781708,3.53233218193054,3.86590957641602
1377,6.78906583786011,9.68144798278809,4.1402907371521,1.2180712223053,3.47460842132568,3.76476645469666
1379,6.599937915802,9.41862201690674,3.99869322776794,1.13485825061798,3.33901715278625,3.68269991874695
1381,6.39537048339844,9.05696964263916,3.85680222511292,1.09529411792755,3.18287944793701,3.60646939277649
1383,6.16645288467407,8.6987361907959,3.71871566772461,1.073734998703,3.05796027183533,3.49915456771851
1385,5.83579111099243,8.30978488922119,3.54199528694153,0.969164907932281,2.91749095916748,3.29779028892517
1387,5.54760885238647,7.82588291168213,3.31783223152161,0.909814178943634,2.73848795890808,3.07944202423096
1389,5.23579740524292,7.47733402252197,3.19033670425415,0.90451991558075,2.65353345870972,2.88094425201416
1391,4.96915292739868,7.10790967941284,3.03651571273804,0.830135583877563,2.54275941848755,2.79195022583008
1393,4.75357484817505,6.79007339477539,2.85102438926697,0.732529401779175,2.39026474952698,2.67717385292053
1395,4.64058399200439,6.52520942687988,2.7538595199585,0.696641087532043,2.28182935714722,2.57885050773621
1397,4.47656726837158,6.31630325317383,2.67443227767944,0.645050942897797,2.18753957748413,2.43244791030884
1399,4.31640291213989,6.14993381500244,2.60551118850708,0.655265986919403,2.12250423431396,2.31903648376465
1401,4.17591762542725,6.02826118469238,2.48285031318665,0.664175450801849,2.11858725547791,2.27695488929749
1403,4.03217649459839,5.85724925994873,2.3315703868866,0.637431621551514,1.98647391796112,2.23749828338623
