,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR","O-PTIR 17/O-PTIR","O-PTIR 18/O-PTIR","O-PTIR 19/O-PTIR","O-PTIR 22/O-PTIR","O-PTIR 24/O-PTIR","O-PTIR 25/O-PTIR","O-PTIR 26/O-PTIR","O-PTIR 27/O-PTIR"
1033,1.29302740097046,4.98057508468628,4.26987314224243,2.301105260849,3.23924899101257,4.33459806442261,3.00287914276123,4.94128036499023,3.07094669342041,1.61142420768738,-0.0224023386836052,0.606904625892639,5.14532899856567,0.527994513511658,2.3234486579895,3.56430840492249,2.26851201057434,1.74235427379608,1.37788689136505,2.09598875045776
1035,1.34151470661163,5.09931802749634,4.36287021636963,2.31749105453491,3.3012433052063,4.38147354125977,3.05999517440796,5.06126403808594,3.11290121078491,1.65599596500397,-0.0402685813605785,0.614371716976166,5.20890808105469,0.504932701587677,2.36120009422302,3.64238810539246,2.32868075370789,1.74770247936249,1.39957141876221,2.16775393486023
1037,1.38274800777435,5.17907667160034,4.45427465438843,2.34179544448853,3.36964726448059,4.44474363327026,3.11801362037659,5.17769956588745,3.14326786994934,1.68194603919983,-0.0466504134237766,0.61406284570694,5.22782135009766,0.485501408576965,2.39477705955505,3.6878514289856,2.41611385345459,1.75205421447754,1.41932487487793,2.22555017471313
1039,1.41418707370758,5.25183391571045,4.54344320297241,2.38297867774963,3.44017291069031,4.51965761184692,3.16913223266602,5.28049087524414,3.17496705055237,1.70218825340271,-0.0452970080077648,0.636682868003845,5.18590593338013,0.471949547529221,2.42995142936707,3.71398949623108,2.47593975067139,1.74273419380188,1.44641208648682,2.2817211151123
1041,1.44810235500336,5.33318901062012,4.59401369094849,2.42495584487915,3.4932222366333,4.59593725204468,3.20628428459167,5.34847068786621,3.19970464706421,1.7189382314682,-0.0384213402867317,0.658496618270874,5.10792684555054,0.454382181167603,2.44925785064697,3.74760556221008,2.50416994094849,1.73819184303284,1.45943427085876,2.33916521072388
1043,1.47558677196503,5.4347825050354,4.63630104064941,2.45518684387207,3.53707647323608,4.68129396438599,3.24579215049744,5.40941715240479,3.22901248931885,1.73120653629303,-0.0414378345012665,0.692158997058868,5.07197618484497,0.437847048044205,2.449862241745,3.79583239555359,2.54690361022949,1.7491512298584,1.46845543384552,2.39952826499939
1045,1.50056219100952,5.55777168273926,4.70395088195801,2.48287510871887,3.59513449668884,4.74491453170776,3.30257081985474,5.48718595504761,3.28375363349915,1.75920629501343,-0.0481627434492111,0.732179999351501,5.07390594482422,0.430670738220215,2.46997380256653,3.85238265991211,2.60751366615295,1.7736279964447,1.4918600320816,2.48401021957397
1047,1.49860870838165,5.6613245010376,4.76865196228027,2.49621963500977,3.64866805076599,4.7885913848877,3.35290288925171,5.5684642791748,3.31955242156982,1.78632819652557,-0.0477486066520214,0.76799213886261,5.0924973487854,0.43213301897049,2.50248050689697,3.90322804450989,2.66116285324097,1.80195999145508,1.51236867904663,2.57838034629822
1049,1.4916718006134,5.73324346542358,4.81328248977661,2.50836491584778,3.6892945766449,4.82042598724365,3.39214134216309,5.64415454864502,3.3405601978302,1.79245567321777,-0.0571120530366898,0.796868145465851,5.12968921661377,0.442395478487015,2.52495551109314,3.9393630027771,2.71174335479736,1.80759263038635,1.53236353397369,2.65986180305481
1051,1.49810123443604,5.76604509353638,4.85036134719849,2.50521683692932,3.70967173576355,4.81169271469116,3.41396808624268,5.69441032409668,3.38139963150024,1.79454696178436,-0.0859964042901993,0.824288010597229,5.1877269744873,0.438878625631332,2.5277054309845,3.95740270614624,2.76677703857422,1.78248798847198,1.55328333377838,2.70977568626404
1053,1.50419497489929,5.79968357086182,4.89697170257568,2.48026537895203,3.72537088394165,4.80734491348267,3.42609310150146,5.74860286712646,3.42122721672058,1.80658042430878,-0.0914862975478172,0.851741909980774,5.27303075790405,0.424773305654526,2.5247163772583,3.96525979042053,2.80735969543457,1.74054658412933,1.56780004501343,2.72032451629639
1055,1.52483880519867,5.82947587966919,4.95627641677856,2.45281887054443,3.73097229003906,4.82008600234985,3.44125843048096,5.80859851837158,3.45805549621582,1.81421625614166,-0.0814274996519089,0.890537917613983,5.39421224594116,0.412672013044357,2.53176093101501,3.97770047187805,2.83462929725647,1.70280528068542,1.55318868160248,2.72814512252808
1057,1.5424884557724,5.86286592483521,5.02443647384644,2.43198418617249,3.74069905281067,4.84035587310791,3.45804929733276,5.87413883209229,3.50280594825745,1.82185041904449,-0.0811163261532784,0.922478258609772,5.58990430831909,0.41076785326004,2.54893517494202,4.0045371055603,2.85212969779968,1.66032516956329,1.53871369361877,2.75959610939026
1059,1.54276287555695,5.89146137237549,5.04971361160278,2.41249346733093,3.76930260658264,4.85116386413574,3.47432994842529,5.91822576522827,3.5354208946228,1.81938207149506,-0.0854127928614616,0.944238901138306,5.84423732757568,0.41105329990387,2.55842781066895,4.01285219192505,2.8627655506134,1.64136278629303,1.53704607486725,2.79201555252075
1061,1.53529405593872,5.91210556030273,5.05915021896362,2.38971996307373,3.81486535072327,4.84085559844971,3.49526596069336,5.96573686599731,3.55779457092285,1.8062549829483,-0.081908605992794,0.961441338062286,6.11106538772583,0.40992483496666,2.55783319473267,4.01130199432373,2.88027906417847,1.63118469715118,1.55321109294891,2.81597518920898
1063,1.53407263755798,5.93472290039063,5.10052394866943,2.38013935089111,3.85045003890991,4.81922960281372,3.51618099212646,6.00343084335327,3.57184910774231,1.79660642147064,-0.0812095925211906,0.970850110054016,6.3436450958252,0.396270155906677,2.55508613586426,4.02266359329224,2.89330744743347,1.60985362529755,1.57741868495941,2.84093570709229
