,"O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR"
1025,2.81491327285767,3.40112805366516,1.18634259700775,1.3311083316803,5.01895999908447,1.09402692317963,4.5304651260376,1.93804728984833,3.18232536315918,2.58550643920898,2.95889854431152,2.26990437507629,5.38665676116943,1.47729027271271,0.884098708629608,5.23038864135742,1.62950575351715,6.23416662216187,7.09968185424805
1027,3.06816697120667,3.560791015625,1.24833369255066,1.42979085445404,5.23636817932129,1.19300270080566,4.84159231185913,2.06101560592651,3.52897477149963,2.58633756637573,3.10802555084229,2.51208806037903,5.7784252166748,1.56748616695404,0.957180082798004,5.53105926513672,1.75743699073792,6.15418577194214,7.60430097579956
1029,3.11529755592346,3.67280983924866,1.2920697927475,1.4865700006485,5.31007623672485,1.29585540294647,5.03776693344116,2.12997817993164,3.7135968208313,2.54721856117249,3.18582940101624,2.68906617164612,5.9518346786499,1.57892251014709,1.0538923740387,5.65080881118774,1.77053487300873,6.10596752166748,7.97603416442871
1031,2.99435973167419,3.70047783851624,1.33089005947113,1.47641456127167,5.30898523330688,1.40511834621429,5.08163928985596,2.11398911476135,3.72483587265015,2.50777769088745,3.21941375732422,2.76354122161865,5.87838840484619,1.49860846996307,1.11899924278259,5.59565162658691,1.64598226547241,6.01700353622437,8.2073450088501
1033,2.79218554496765,3.66188263893127,1.32577681541443,1.40468299388885,5.30280494689941,1.45201337337494,4.92749691009521,2.05818963050842,3.62231659889221,2.47433161735535,3.2088668346405,2.73470544815063,5.58495330810547,1.37168955802917,1.16782426834106,5.41943693161011,1.44220745563507,5.88887643814087,8.2550802230835
1035,2.57973647117615,3.60167169570923,1.29491376876831,1.30198001861572,5.2593994140625,1.42479157447815,4.66861343383789,1.99224007129669,3.48938894271851,2.40448975563049,3.15487122535706,2.60751104354858,5.22178268432617,1.28929960727692,1.15442180633545,5.22368049621582,1.28505957126617,5.85610771179199,8.13508224487305
1037,2.43154048919678,3.56857800483704,1.25658369064331,1.21450757980347,5.17874431610107,1.34773004055023,4.47872734069824,1.93010103702545,3.36861300468445,2.36973524093628,3.12135720252991,2.43229055404663,4.94914054870605,1.2934901714325,1.10140681266785,5.09100961685181,1.17030501365662,5.99710845947266,7.9933934211731
1039,2.37167453765869,3.57094407081604,1.224653840065,1.21604907512665,5.10535478591919,1.27706074714661,4.37157726287842,1.90165781974792,3.32217526435852,2.39485096931458,3.12181544303894,2.26651549339294,4.81606483459473,1.33567178249359,1.07097017765045,5.01702117919922,1.09115362167358,6.15930604934692,7.90047645568848
1041,2.3275740146637,3.56881594657898,1.22186148166656,1.23992097377777,5.06622409820557,1.24953722953796,4.31475305557251,1.94088888168335,3.31577634811401,2.45224928855896,3.12664294242859,2.12550091743469,4.77662229537964,1.36510515213013,1.07379066944122,4.989586353302,1.07863628864288,6.22466230392456,7.82344198226929
1043,2.31262040138245,3.55250668525696,1.22630667686462,1.23880660533905,5.07178592681885,1.23676872253418,4.3043212890625,2.02952575683594,3.37297320365906,2.5044093132019,3.11228656768799,2.03319644927979,4.83006191253662,1.3600355386734,1.09818577766418,5.01939821243286,1.09397077560425,6.25274038314819,7.75383472442627
