,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR"
1205,0.820974946022034,0.718286454677582,0.808318257331848,0.349942773580551,0.699389338493347,2.67579960823059,4.56585264205933,1.24764776229858,0.739509701728821,0.644434571266174,1.32987570762634,0.3359335064888
1207,0.856681823730469,0.708701729774475,0.852855920791626,0.339578092098236,0.757753074169159,2.65231943130493,4.51030778884888,1.23702466487885,0.764869213104248,0.649146139621735,1.31399619579315,0.314088672399521
1209,0.88603538274765,0.691162109375,0.801634311676025,0.336232751607895,0.836757719516754,2.59747576713562,4.44519567489624,1.38766098022461,0.928194046020508,0.73525059223175,1.31831753253937,0.329484105110168
1211,0.915837585926056,0.67335444688797,0.749629735946655,0.332836300134659,0.916969895362854,2.54179430007935,4.37908935546875,1.54059958457947,1.09401524066925,0.822671115398407,1.32270491123199,0.345114886760712
1213,0.946098804473877,0.655272483825684,0.696824252605438,0.32938751578331,0.998417496681213,2.48525476455688,4.31196451187134,1.69589388370514,1.26239037513733,0.91143810749054,1.32716000080109,0.36098638176918
1215,0.94833105802536,0.653440475463867,0.665840446949005,0.344814330339432,0.985931396484375,2.48988461494446,4.30953168869019,1.71481013298035,1.29658663272858,0.99637770652771,1.36525690555573,0.417498618364334
1217,0.984012186527252,0.669955909252167,0.653501212596893,0.370244979858398,0.987164556980133,2.51374769210815,4.29608869552612,1.7158830165863,1.35319721698761,1.05666983127594,1.38064360618591,0.447829216718674
1219,0.992473900318146,0.738254606723785,0.667176425457001,0.372456789016724,1.00752425193787,2.52948451042175,4.26330661773682,1.74675440788269,1.41878819465637,1.12726664543152,1.36706387996674,0.442259639501572
1221,0.974038243293762,0.817358136177063,0.698553323745728,0.368293106555939,1.06410396099091,2.51210570335388,4.18436193466187,1.74837291240692,1.51063513755798,1.20229852199554,1.39485740661621,0.411567628383636
1223,0.986777007579803,0.902284324169159,0.736218333244324,0.375641912221909,1.13798785209656,2.45263051986694,4.12076854705811,1.76537561416626,1.59475147724152,1.24769842624664,1.41723084449768,0.406706422567368
1225,1.0125116109848,1.01069259643555,0.744788289070129,0.382522374391556,1.19494915008545,2.34554505348206,4.10257387161255,1.81318974494934,1.65536248683929,1.27424037456512,1.41399466991425,0.43701583147049
1227,1.0351095199585,1.0821692943573,0.736565947532654,0.388595044612885,1.2490690946579,2.25600790977478,4.09427976608276,1.90481698513031,1.69425642490387,1.32332897186279,1.43015134334564,0.46257084608078
1229,1.09145903587341,1.12689960002899,0.743958294391632,0.413862586021423,1.31124651432037,2.2143771648407,4.10401821136475,1.98959815502167,1.70758509635925,1.37213695049286,1.43506038188934,0.475955814123154
1231,1.13935351371765,1.15505802631378,0.764296531677246,0.463580369949341,1.35868656635284,2.20024800300598,4.08902215957642,2.04825305938721,1.71234393119812,1.39189422130585,1.39893305301666,0.504625141620636
1233,1.17858052253723,1.1850391626358,0.783026576042175,0.492451310157776,1.39172005653381,2.17319107055664,4.01415157318115,2.07372093200684,1.73177337646484,1.38991475105286,1.34531772136688,0.565460920333862
1235,1.20686292648315,1.2020503282547,0.815590143203735,0.480042845010757,1.42746949195862,2.13536262512207,3.92935609817505,2.0714418888092,1.76887094974518,1.39084053039551,1.29056799411774,0.615533351898193
1237,1.20829176902771,1.17968118190765,0.827550172805786,0.472470670938492,1.4788054227829,2.1006486415863,3.86363005638123,2.08302903175354,1.80981922149658,1.4238520860672,1.22559368610382,0.617286205291748
1239,1.19445991516113,1.1938169002533,0.823322236537933,0.440089523792267,1.53021705150604,2.05111336708069,3.8241708278656,2.08650922775269,1.84031307697296,1.47146546840668,1.20262205600739,0.625383138656616
1241,1.16325044631958,1.21242332458496,0.819632530212402,0.401603996753693,1.53551161289215,1.98567152023315,3.77169156074524,2.09190440177917,1.86164236068726,1.52767372131348,1.21768891811371,0.659465849399567
1243,1.13595795631409,1.22369885444641,0.831959187984467,0.396049082279205,1.53957462310791,1.91427040100098,3.65645337104797,2.10861802101135,1.87756669521332,1.54718613624573,1.20648849010468,0.695959627628326
1245,1.11331939697266,1.24013030529022,0.827063143253326,0.41817581653595,1.54735887050629,1.85897409915924,3.51729655265808,2.12817025184631,1.87276172637939,1.5086042881012,1.16243982315063,0.700634002685547
1247,1.09486711025238,1.25142645835876,0.822588086128235,0.49300828576088,1.5584602355957,1.80413639545441,3.42234230041504,2.16549038887024,1.86887359619141,1.5139445066452,1.12774837017059,0.673996448516846
1249,1.09141337871552,1.26605999469757,0.813739120960236,0.552153587341309,1.5500100851059,1.72492003440857,3.33688306808472,2.19366812705994,1.85895836353302,1.53033220767975,1.12215411663055,0.636161088943481
1251,1.11210191249847,1.27174460887909,0.789146244525909,0.562296509742737,1.5284332036972,1.6730854511261,3.24205899238586,2.19190311431885,1.8439953327179,1.52069187164307,1.12027502059937,0.613899946212769
1253,1.13875925540924,1.27118742465973,0.785840392112732,0.5450679063797,1.5118420124054,1.66892147064209,3.14739227294922,2.18910598754883,1.82322525978088,1.50974357128143,1.09448790550232,0.617865085601807
1255,1.15252089500427,1.27764987945557,0.800680220127106,0.512655675411224,1.4925320148468,1.65426051616669,3.08687257766724,2.19426393508911,1.78062283992767,1.50437986850739,1.07439029216766,0.638563692569733
1257,1.15031957626343,1.29671490192413,0.80324786901474,0.474813878536224,1.46702015399933,1.60142719745636,3.05028414726257,2.15718102455139,1.74434387683868,1.50691890716553,1.07928431034088,0.659640967845917
1259,1.13251268863678,1.31443643569946,0.796211123466492,0.464015483856201,1.44916546344757,1.56456899642944,2.98974585533142,2.13187909126282,1.72102642059326,1.49707102775574,1.06574583053589,0.6632319688797
1261,1.10479593276978,1.32382452487946,0.815271854400635,0.476480454206467,1.43611454963684,1.52713990211487,2.89247035980225,2.13422870635986,1.69896972179413,1.47999238967896,1.01868402957916,0.655943095684052
1263,1.07003498077393,1.31171023845673,0.821142971515656,0.49332657456398,1.41181290149689,1.48293650150299,2.80005645751953,2.13127660751343,1.66825699806213,1.47674453258514,0.969071567058563,0.648028254508972
