,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR"
953,-0.308562904596329,0.218042522668839,0.0366325676441193,-0.56128978729248,-0.0891344249248505,-0.0548100210726261,1.13237452507019,0.875178515911102,0.175045520067215,-0.133190453052521,0.0482601411640644,0.724335372447968,-0.360260128974915,0.401631444692612,-0.328483998775482,-0.0976459085941315
955,-0.20686012506485,0.181616216897964,0.00961808394640684,-0.554189026355743,-0.101797103881836,0.0569535456597805,1.30615055561066,0.9836146235466,0.172903954982758,-0.142035126686096,-0.0487453565001488,0.897377252578735,-0.411291092634201,0.363917618989944,-0.354454129934311,-0.150187790393829
957,-0.130383029580116,0.086666040122509,0.0409147851169109,-0.514725983142853,-0.0640874207019806,0.133114606142044,1.38116240501404,1.16132831573486,0.144158437848091,-0.178396165370941,-0.132774576544762,1.05497622489929,-0.440788775682449,0.344302535057068,-0.406024754047394,-0.195166349411011
959,-0.0550453849136829,0.02702946215868,0.0338070131838322,-0.458190858364105,-0.0170742142945528,0.20884957909584,1.44535219669342,1.38306927680969,0.193925186991692,-0.198750883340836,-0.148544609546661,1.18481194972992,-0.464838057756424,0.427376925945282,-0.430937021970749,-0.161450415849686
961,0.0279783699661493,0.0258534960448742,-0.000456451991340145,-0.426243543624878,-0.00787580665200949,0.347729563713074,1.51811802387238,1.56974351406097,0.304582923650742,-0.183234304189682,-0.079415462911129,1.29025495052338,-0.414142549037933,0.532521367073059,-0.405740529298782,-0.0964945256710052
963,0.0490305945277214,0.0444269105792046,0.00489792507141829,-0.387361198663712,0.0497328080236912,0.511242151260376,1.55944764614105,1.67738342285156,0.405367910861969,-0.145986184477806,0.0175957437604666,1.46040177345276,-0.379978328943253,0.555620849132538,-0.371226757764816,-0.0516766309738159
965,0.0820469558238983,0.037302453070879,0.0291234645992517,-0.275722205638885,0.0959916561841965,0.658654928207397,1.61631369590759,1.77599394321442,0.447697520256042,-0.0747020840644836,0.130774646997452,1.61878132820129,-0.347283214330673,0.619232535362244,-0.391371369361877,-0.020503930747509
967,0.0719905123114586,0.036693163216114,0.045928131788969,-0.15955924987793,0.112954922020435,0.710631251335144,1.69433033466339,1.85255718231201,0.464632511138916,-0.00130937772337347,0.208366632461548,1.72785794734955,-0.340664029121399,0.736275315284729,-0.387786358594894,0.00596821447834373
969,0.0218760333955288,0.0692427307367325,0.0629998743534088,-0.112541176378727,0.113066934049129,0.742739737033844,1.7690896987915,1.93521106243134,0.505130708217621,0.0119093600660563,0.242342323064804,1.79146873950958,-0.265773206949234,0.824471116065979,-0.275235146284103,0.00275933276861906
971,-0.0398612804710865,0.0929642841219902,0.0717181190848351,-0.118299372494221,0.114713937044144,0.774433374404907,1.84131419658661,2.03390908241272,0.556686997413635,-0.0258513893932104,0.277973860502243,1.89261305332184,-0.199669688940048,0.859822154045105,-0.181395098567009,0.000426210463047028
973,-0.0691530779004097,0.128664270043373,0.0534476265311241,-0.117325693368912,0.13613897562027,0.840162217617035,1.88403618335724,2.10197854042053,0.61342453956604,-0.0512303076684475,0.315237075090408,2.02029323577881,-0.148543551564217,0.894737660884857,-0.118017375469208,0.0731266811490059
975,-0.0759330913424492,0.159084871411324,0.0503928177058697,-0.0528927035629749,0.168790265917778,0.943175554275513,1.95325577259064,2.18174052238464,0.67137998342514,-0.0775438919663429,0.304874807596207,2.12344455718994,-0.0788045078516006,0.909797966480255,-0.0431531630456448,0.143802881240845
977,-0.0817764475941658,0.181664168834686,0.0677004605531693,-0.024888139218092,0.215342134237289,1.02851355075836,2.04938173294067,2.26450562477112,0.738548815250397,-0.079472616314888,0.314454644918442,2.22037792205811,-0.0175302848219872,0.913411617279053,0.0195207670331001,0.164123341441154
