,"O-PTIR 2/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR"
1189,0.42781937122345,0.199705705046654,0.386689782142639,0.784260451793671,0.294811606407166,0.83660477399826,0.433080673217773,0.581448137760162,1.13170683383942
1191,0.457839846611023,0.214534759521484,0.442554831504822,0.863916039466858,0.317721366882324,0.908450365066528,0.484796106815338,0.616138219833374,1.22156989574432
1193,0.478629618883133,0.245589718222618,0.485280722379684,0.958445727825165,0.352323621511459,0.977981328964233,0.525903940200806,0.643348515033722,1.30686354637146
1195,0.500133514404297,0.27176621556282,0.489741712808609,1.05278646945953,0.374527096748352,1.01884520053864,0.556125521659851,0.666748940944672,1.39763951301575
1197,0.520821630954742,0.279234170913696,0.496613293886185,1.107661485672,0.376377791166306,1.04654788970947,0.576554238796234,0.685301959514618,1.45173227787018
1199,0.543552279472351,0.279470235109329,0.511419773101807,1.1084817647934,0.37767767906189,1.09394133090973,0.606769382953644,0.695911288261414,1.47394812107086
1201,0.557300925254822,0.284036964178085,0.528238892555237,1.08526015281677,0.382756531238556,1.10537171363831,0.631113171577454,0.690875768661499,1.46592092514038
1203,0.558159589767456,0.294128209352493,0.535917997360229,1.03441643714905,0.38578188419342,1.06620311737061,0.644045770168304,0.692060530185699,1.42918312549591
1205,0.550260484218597,0.28421488404274,0.511968314647675,0.977947294712067,0.392694532871246,1.02192676067352,0.624112248420715,0.69165050983429,1.41088604927063
1207,0.545279145240784,0.26837956905365,0.465077251195908,0.944630146026611,0.408255755901337,0.979429125785828,0.604411065578461,0.694601118564606,1.39694404602051
1209,0.54916125535965,0.245421171188354,0.440731287002563,0.878044843673706,0.456831246614456,0.888648211956024,0.492659330368042,0.678331792354584,1.29317009449005
1211,0.553102672100067,0.222111850976944,0.416013240814209,0.810441851615906,0.506149172782898,0.796479761600494,0.37919956445694,0.661813795566559,1.18780994415283
1213,0.557104766368866,0.198443502187729,0.390914440155029,0.741797566413879,0.55622673034668,0.702891767024994,0.263992309570313,0.645041406154633,1.08082711696625
1215,0.5414959192276,0.204791083931923,0.403057247400284,0.726711869239807,0.537823557853699,0.697411179542542,0.287210464477539,0.66631019115448,1.09045553207397
1217,0.533067464828491,0.215475469827652,0.438629060983658,0.768497228622437,0.551584899425507,0.715521454811096,0.310044467449188,0.695184051990509,1.09990870952606
1219,0.555597066879272,0.235450342297554,0.496863305568695,0.885490536689758,0.615652143955231,0.787335515022278,0.328719973564148,0.769069135189056,1.15209460258484
1221,0.618573248386383,0.287663400173187,0.555844485759735,1.03621184825897,0.697667479515076,0.89818286895752,0.367240935564041,0.866387963294983,1.30353033542633
1223,0.731044232845306,0.369769662618637,0.630794763565063,1.21190500259399,0.811985194683075,1.05437302589417,0.481731295585632,0.94557911157608,1.58221864700317
1225,0.877583682537079,0.459656953811646,0.752215385437012,1.37563455104828,0.951706409454346,1.28140687942505,0.621313452720642,0.997052371501923,1.88819050788879
1227,1.03811991214752,0.53293365240097,0.868452370166779,1.53489220142365,1.1137535572052,1.53117549419403,0.74713808298111,1.06190919876099,2.20184731483459
1229,1.18443036079407,0.589019238948822,0.969006717205048,1.67290556430817,1.26601660251617,1.78455829620361,0.851528882980347,1.13639307022095,2.51895666122437
1231,1.30973541736603,0.644617140293121,1.06973302364349,1.80923068523407,1.40995621681213,2.01686358451843,0.950406849384308,1.19305181503296,2.82782793045044
1233,1.43394017219543,0.703555047512054,1.18245589733124,1.97239196300507,1.56109654903412,2.22249341011047,1.06298303604126,1.24444353580475,3.14827537536621
1235,1.57178854942322,0.761879444122314,1.28054475784302,2.13716387748718,1.71947300434113,2.41250801086426,1.1956639289856,1.29031991958618,3.48037099838257
1237,1.72288131713867,0.818324387073517,1.36297869682312,2.27675938606262,1.87330222129822,2.61902356147766,1.34863138198853,1.34565043449402,3.80550956726074
1239,1.86702883243561,0.882460057735443,1.44025731086731,2.3940064907074,2.01726531982422,2.84913492202759,1.46493899822235,1.37912142276764,4.13665103912354
1241,1.98055982589722,0.952777981758118,1.51563787460327,2.50126910209656,2.09444689750671,3.0462281703949,1.55073761940002,1.40863060951233,4.48107194900513
1243,2.09607172012329,1.01741814613342,1.57530033588409,2.5853545665741,2.14576435089111,3.21349310874939,1.63659381866455,1.44186353683472,4.81763553619385
1245,2.23013305664063,1.07646000385284,1.65547275543213,2.655757188797,2.19393110275269,3.36285519599915,1.73596942424774,1.46802520751953,5.15149164199829
1247,2.36662268638611,1.13081276416779,1.73777437210083,2.740962266922,2.24432158470154,3.55325508117676,1.85095548629761,1.4756726026535,5.51917314529419
1249,2.52255868911743,1.19039177894592,1.8168671131134,2.87458872795105,2.32928705215454,3.82403540611267,1.97939336299896,1.46261131763458,6.00116968154907
