,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR"
1043,0.85582047700882,0.00297929649241269,3.90781140327454,2.90239071846008,2.46542048454285,3.0288622379303,0.226394355297089,2.63886523246765,1.28569602966309,0.565602004528046,2.81002521514893,0.389612466096878
1045,0.832480847835541,0.0724388882517815,3.91525316238403,2.93796372413635,2.48011088371277,2.94470977783203,0.303044468164444,2.69941163063049,1.30507063865662,0.562305092811584,2.84568500518799,0.427086710929871
1047,0.730024039745331,0.169000238180161,3.92764091491699,2.94565343856812,2.49143481254578,2.87306976318359,0.401010602712631,2.75645470619202,1.33647060394287,0.525281429290771,2.82745289802551,0.4435755610466
1049,0.589051604270935,0.288595914840698,3.95451736450195,2.90973234176636,2.49721360206604,2.85888457298279,0.515289187431335,2.81182646751404,1.41973066329956,0.463779091835022,2.79387927055359,0.467122972011566
1051,0.392028301954269,0.463710755109787,3.98016285896301,2.86903262138367,2.4952564239502,2.89409732818604,0.646147966384888,2.90313029289246,1.5926479101181,0.414550304412842,2.81199216842651,0.517390310764313
1053,0.273782253265381,0.676298916339874,4.03077697753906,2.83874559402466,2.52980899810791,2.94126439094543,0.814580500125885,3.05021691322327,1.84926187992096,0.370766311883926,2.85236215591431,0.540281295776367
1055,0.351860046386719,0.932453513145447,4.08810710906982,2.80894422531128,2.59353470802307,3.00849151611328,0.997242271900177,3.16775822639465,2.12324738502502,0.332977622747421,2.86094117164612,0.535967111587524
1057,0.638791739940643,1.20535492897034,4.13888931274414,2.78480434417725,2.66468358039856,3.14477396011353,1.19033491611481,3.19827270507813,2.37231373786926,0.287659794092178,2.8688976764679,0.517299830913544
1059,0.959874987602234,1.45173752307892,4.20963430404663,2.74269914627075,2.71704244613647,3.25266122817993,1.38212895393372,3.20794868469238,2.59615612030029,0.240585923194885,2.95679950714111,0.499570727348328
1061,1.22576105594635,1.64350545406342,4.26748847961426,2.68486428260803,2.71667575836182,3.2550094127655,1.52728021144867,3.24127626419067,2.76638102531433,0.217541068792343,3.11139345169067,0.488865405321121
1063,1.40329480171204,1.77066099643707,4.28005361557007,2.65827894210815,2.66623973846436,3.22919034957886,1.63174378871918,3.27597784996033,2.83640027046204,0.211722522974014,3.16651368141174,0.476562350988388
1065,1.47803926467896,1.83939480781555,4.27367973327637,2.63837170600891,2.57189440727234,3.26246500015259,1.70560240745544,3.27493286132813,2.83798670768738,0.218346670269966,3.12814164161682,0.452372282743454
1067,1.45024216175079,1.85421872138977,4.26389026641846,2.63317108154297,2.46162390708923,3.31071615219116,1.7397677898407,3.27031087875366,2.82864785194397,0.217266067862511,3.11001086235046,0.424498081207275
1069,1.37224161624908,1.84048986434937,4.23617887496948,2.66291570663452,2.35058164596558,3.28882694244385,1.74701964855194,3.31199955940247,2.82330679893494,0.21680723130703,3.11642336845398,0.401564091444016
1071,1.33304727077484,1.82946062088013,4.1824164390564,2.71543383598328,2.22970104217529,3.22557044029236,1.74357688426971,3.36258602142334,2.82039618492126,0.216890096664429,3.06008100509644,0.352978706359863
1073,1.33628499507904,1.78048491477966,4.11725091934204,2.77808022499084,2.13224291801453,3.20453095436096,1.73642361164093,3.37725710868835,2.81258010864258,0.202239483594894,2.90947079658508,0.298857450485229
1075,1.34533774852753,1.70929110050201,4.05780220031738,2.858078956604,2.05636167526245,3.19800043106079,1.72770082950592,3.3960120677948,2.79976415634155,0.185211956501007,2.79493618011475,0.250871151685715
1077,1.35650134086609,1.65716314315796,3.99580144882202,2.94594621658325,1.97163903713226,3.10581254959106,1.70083272457123,3.47652673721313,2.78983187675476,0.16991414129734,2.79512143135071,0.202640354633331
1079,1.39065492153168,1.62180840969086,3.93095445632935,3.03663778305054,1.87914335727692,2.98321866989136,1.66856849193573,3.61350917816162,2.7743718624115,0.151966631412506,2.81636953353882,0.162403449416161
1081,1.45463633537292,1.60983800888062,3.86454319953918,3.11115074157715,1.81165432929993,2.93786692619324,1.64443933963776,3.71021604537964,2.78414106369019,0.140354201197624,2.76649284362793,0.121445417404175
1083,1.51762914657593,1.58787846565247,3.81624269485474,3.15421056747437,1.80035698413849,2.97213578224182,1.62576973438263,3.73798251152039,2.80687284469604,0.126535683870316,2.70546936988831,0.0951849520206451
1085,1.61766695976257,1.55240547657013,3.75945496559143,3.21045184135437,1.82854044437408,2.999516248703,1.62539446353912,3.7746844291687,2.83900713920593,0.109596915543079,2.72709035873413,0.0799251720309258
