,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR","O-PTIR 17/O-PTIR","O-PTIR 18/O-PTIR"
967,1.70136535167694,4.01212978363037,0.130625367164612,0.771363317966461,2.61954522132874,0.839394867420197,1.26937067508698,1.4108794927597,2.72619152069092,0.879667043685913,2.16522169113159,4.05177927017212,0.972647249698639,2.25980281829834,2.54102993011475,0.78843891620636,2.06602883338928,1.21807491779327
969,1.67146146297455,3.98217058181763,0.141334235668182,0.766073763370514,2.54170560836792,0.823100090026855,1.24440002441406,1.40882217884064,2.62625026702881,0.900818645954132,2.1278235912323,3.93883919715881,0.953753232955933,2.22954154014587,2.46266937255859,0.787777066230774,2.02823805809021,1.17312169075012
971,1.64151501655579,3.87409734725952,0.154744848608971,0.750750362873077,2.45667719841003,0.804495275020599,1.20475804805756,1.37899053096771,2.48998212814331,0.900233268737793,2.08845639228821,3.8219952583313,0.895307302474976,2.18880319595337,2.36144733428955,0.780287384986877,1.98926305770874,1.14045202732086
973,1.58839571475983,3.70186805725098,0.159003674983978,0.724020659923553,2.38527417182922,0.788983523845673,1.13607394695282,1.32295441627502,2.35385036468506,0.86826229095459,2.02340841293335,3.70418190956116,0.852453351020813,2.11559152603149,2.24896764755249,0.755541622638702,1.91059923171997,1.09820306301117
975,1.49618470668793,3.50644683837891,0.170778587460518,0.685431957244873,2.29237794876099,0.755085051059723,1.05168128013611,1.26880979537964,2.24075436592102,0.820768237113953,1.9359575510025,3.56336855888367,0.794302046298981,2.00930690765381,2.13559293746948,0.718582093715668,1.81266283988953,1.03647220134735
977,1.40082550048828,3.33473014831543,0.162667244672775,0.641705214977264,2.18775510787964,0.714936554431915,0.975453197956085,1.2081493139267,2.11675763130188,0.775144577026367,1.84117317199707,3.38807392120361,0.715584516525269,1.88093328475952,2.02544164657593,0.66967910528183,1.72885298728943,0.971153736114502
979,1.32144546508789,3.15970182418823,0.133583500981331,0.592987477779388,2.08094882965088,0.690400421619415,0.916279494762421,1.14498114585876,1.9669349193573,0.730445802211761,1.76085698604584,3.21002101898193,0.621386170387268,1.7495950460434,1.89451622962952,0.604399085044861,1.63518893718719,0.90184074640274
981,1.25282597541809,2.96931862831116,0.105953015387058,0.550305545330048,1.9629123210907,0.655784904956818,0.85835325717926,1.07462811470032,1.83413541316986,0.688363790512085,1.68576979637146,3.02302122116089,0.532754719257355,1.63422501087189,1.75429236888885,0.547545552253723,1.53579843044281,0.826391041278839
983,1.20344543457031,2.78654837608337,0.0779700204730034,0.508411526679993,1.83956742286682,0.613852798938751,0.807452142238617,1.00171506404877,1.7240914106369,0.646062612533569,1.60271024703979,2.84437775611877,0.46693280339241,1.54525482654572,1.6412101984024,0.499965190887451,1.4586855173111,0.746010780334473
985,1.16858494281769,2.62700080871582,0.0758025869727135,0.470488250255585,1.69949519634247,0.574113607406616,0.765567421913147,0.93355792760849,1.61410164833069,0.611736714839935,1.51488089561462,2.67542576789856,0.43568155169487,1.46364104747772,1.53602075576782,0.469137966632843,1.39868915081024,0.674877285957336
987,1.12963759899139,2.472740650177,0.0817262008786201,0.444016367197037,1.57339954376221,0.53465324640274,0.724903285503387,0.894719243049622,1.51804304122925,0.581453800201416,1.42408668994904,2.51585268974304,0.399483323097229,1.38207411766052,1.42469036579132,0.456102430820465,1.34267628192902,0.616152107715607
989,1.10968434810638,2.34528422355652,0.0981732308864594,0.427391082048416,1.51074826717377,0.513522088527679,0.676710665225983,0.85500168800354,1.4427775144577,0.543420433998108,1.34782063961029,2.38475561141968,0.361016005277634,1.31344640254974,1.31465625762939,0.44394713640213,1.27362275123596,0.567590296268463
991,1.0876327753067,2.24890446662903,0.105119645595551,0.40437313914299,1.48824119567871,0.505496203899384,0.625609457492828,0.815977871417999,1.37508249282837,0.514145135879517,1.27460896968842,2.27030229568481,0.334939181804657,1.25349640846252,1.21680045127869,0.426225155591965,1.20152187347412,0.538149654865265
993,1.05775725841522,2.14649295806885,0.101925380527973,0.377632319927216,1.47371017932892,0.501379728317261,0.59460324048996,0.788507401943207,1.31142842769623,0.493721455335617,1.21214580535889,2.16373324394226,0.324122309684753,1.19365584850311,1.15221214294434,0.408336132764816,1.1594443321228,0.523445963859558
995,1.0312123298645,2.06997179985046,0.094591960310936,0.357048660516739,1.42475414276123,0.504673719406128,0.574248611927032,0.770797550678253,1.26062595844269,0.489401340484619,1.1739616394043,2.05969309806824,0.324897348880768,1.14266061782837,1.10694396495819,0.387565970420837,1.13710856437683,0.509211003780365
997,1.00320136547089,2.00118851661682,0.0675850436091423,0.341369837522507,1.36298787593842,0.504922032356262,0.553035497665405,0.758158087730408,1.2260993719101,0.494603216648102,1.13932490348816,1.98327577114105,0.32103243470192,1.0927426815033,1.06087923049927,0.369869381189346,1.10538637638092,0.485150396823883
999,0.963163614273071,1.91433167457581,0.0319297984242439,0.326368033885956,1.30954265594482,0.500257134437561,0.529035568237305,0.737815022468567,1.19352412223816,0.488521903753281,1.0960431098938,1.90860402584076,0.317412525415421,1.05659639835358,1.01477956771851,0.351982414722443,1.06138932704926,0.449284791946411
1001,0.927393436431885,1.83888709545135,0.0263591855764389,0.312696129083633,1.28132784366608,0.493556290864944,0.512909054756165,0.719189703464508,1.15109205245972,0.476880609989166,1.05838263034821,1.82453167438507,0.302164077758789,1.03806042671204,0.976645231246948,0.333087563514709,1.03248262405396,0.434716731309891
1003,0.899076640605927,1.76463353633881,0.0316581167280674,0.304624050855637,1.28124845027924,0.484642177820206,0.490043640136719,0.707513153553009,1.1152503490448,0.470462948083878,1.03113782405853,1.74927639961243,0.287507772445679,1.01728105545044,0.947136402130127,0.32098200917244,1.02295958995819,0.428599655628204
1005,0.864607095718384,1.69894862174988,0.0401820279657841,0.298739016056061,1.30247414112091,0.477269053459167,0.446615248918533,0.693197250366211,1.07963144779205,0.465428382158279,1.0000479221344,1.70586979389191,0.286757469177246,0.994259774684906,0.914843559265137,0.3183314204216,1.02052450180054,0.413238942623138
1007,0.838941156864166,1.65228235721588,0.0548515543341637,0.295986115932465,1.33071136474609,0.466979295015335,0.411492943763733,0.675508797168732,1.04885029792786,0.45340171456337,0.964056253433228,1.66384768486023,0.306574434041977,0.973559319972992,0.882586300373077,0.311888366937637,1.01378059387207,0.396208703517914
1009,0.834046542644501,1.62217831611633,0.0729654133319855,0.300867587327957,1.36149382591248,0.458873629570007,0.401745647192001,0.658363401889801,1.02197563648224,0.435202300548553,0.926831662654877,1.63661646842957,0.322476655244827,0.952352404594421,0.858704388141632,0.30693531036377,0.998650968074799,0.39065608382225
1011,0.823527216911316,1.59969925880432,0.0769811868667603,0.303263366222382,1.39878141880035,0.465483725070953,0.398731648921967,0.656279444694519,0.995463371276855,0.420331060886383,0.908085703849792,1.62952470779419,0.315434247255325,0.931345641613007,0.845901906490326,0.304275691509247,0.97911411523819,0.393750816583633
1013,0.80600917339325,1.58197736740112,0.083610899746418,0.297859311103821,1.43945240974426,0.473628848791122,0.385083258152008,0.66586434841156,0.975782334804535,0.41298121213913,0.896904230117798,1.6297709941864,0.289068043231964,0.914871454238892,0.823285698890686,0.297016799449921,0.963603317737579,0.392057001590729
1015,0.804988920688629,1.57554650306702,0.0848971605300903,0.294533878564835,1.49404883384705,0.476067572832108,0.367882966995239,0.672013282775879,0.966895878314972,0.411887764930725,0.887714266777039,1.62060129642487,0.261879563331604,0.909834325313568,0.803278982639313,0.288531810045242,0.954637229442596,0.383759081363678
1017,0.815041542053223,1.55421769618988,0.0852970331907272,0.294798970222473,1.53657448291779,0.467914253473282,0.362760007381439,0.673004150390625,0.956771910190582,0.415070563554764,0.868746101856232,1.5843460559845,0.246308386325836,0.906127035617828,0.793305695056915,0.283894687891006,0.944733023643494,0.368152886629105
