,O-PTIR 1/O-PTIR,O-PTIR 2/O-PTIR,O-PTIR 3/O-PTIR,O-PTIR 4/O-PTIR,O-PTIR 5/O-PTIR,O-PTIR 6/O-PTIR,O-PTIR 7/O-PTIR,O-PTIR 8/O-PTIR,O-PTIR 9/O-PTIR,O-PTIR 10/O-PTIR,O-PTIR 11/O-PTIR,O-PTIR 12/O-PTIR,O-PTIR 13/O-PTIR,O-PTIR 14/O-PTIR,O-PTIR 15/O-PTIR,O-PTIR 16/O-PTIR,O-PTIR 17/O-PTIR,O-PTIR 18/O-PTIR,O-PTIR 19/O-PTIR,O-PTIR 20/O-PTIR,,,
987,2.378302336,0.744597852,0.219862536,0.518498838,-0.015891403,0.191675648,1.251898766,0.377280146,0.681849062,0.159859881,0.793953717,0.87140727,0.27963385,0.520954907,0.977373838,0.54319346,0.741464317,0.52132386,0.543036342,0.790921211,,,
989,2.472281933,0.766185343,0.240143135,0.497194797,-0.009468341,0.179576263,1.286405087,0.403611809,0.714556932,0.148996383,0.80966866,0.883710861,0.294258147,0.571939588,1.019336462,0.535017908,0.745448589,0.530689895,0.575992167,0.800424159,,,
991,2.518322945,0.799713552,0.273911357,0.470501959,-0.01642683,0.164545327,1.328014135,0.392289937,0.716238976,0.15794085,0.808446109,0.877685308,0.306552649,0.594129145,1.022496343,0.514818847,0.708245933,0.544175267,0.612760663,0.818538725,,,
993,2.528154135,0.824920416,0.282113463,0.461312205,-0.022448624,0.159972444,1.343175888,0.382380694,0.683271646,0.171950147,0.790525675,0.848059535,0.325125039,0.588310063,1.029320359,0.498752683,0.685862064,0.547742844,0.631842315,0.848753452,,,
995,2.512991667,0.79003042,0.260614008,0.482116908,-0.021672787,0.155863777,1.302605033,0.357485175,0.650287688,0.166557893,0.762315452,0.782481968,0.343212515,0.552913308,1.006775856,0.476961374,0.674445689,0.520925403,0.616356909,0.88545078,,,
997,2.454932451,0.723206282,0.243686214,0.526529431,-0.012835064,0.134423494,1.22341466,0.315866679,0.641116738,0.145323932,0.719620228,0.692340255,0.379803419,0.516537011,0.946097136,0.460448951,0.649421394,0.47967881,0.599774122,0.889826298,,,
999,2.325026751,0.631189287,0.222056329,0.5588938,-0.004354857,0.120162062,1.161040068,0.245697081,0.618123889,0.126073599,0.679758906,0.61366111,0.403861374,0.484861374,0.866106212,0.431477666,0.607814193,0.442902893,0.57516098,0.886229396,,,
1001,2.178760529,0.520717859,0.210403249,0.550491512,-0.006478281,0.119550429,1.097720146,0.156007871,0.570452332,0.085246146,0.623862147,0.517774522,0.393534839,0.446020365,0.798714697,0.392256409,0.577370763,0.402909219,0.543520033,0.874985933,,,
1003,2.052989006,0.418653548,0.227651164,0.53703773,-0.010402285,0.128671706,1.022655487,0.096363142,0.510267854,0.034241546,0.530809939,0.438371181,0.363748223,0.412483156,0.728864789,0.386994362,0.538289785,0.348205626,0.521602392,0.835196018,,,
1005,1.947497129,0.327842563,0.253785014,0.522981167,-0.022437094,0.13054134,0.97674346,0.058795754,0.457957566,-0.01160439,0.434761465,0.38569805,0.332493991,0.38238886,0.645827413,0.392341495,0.496673286,0.301035017,0.503698468,0.808379769,,,
1007,1.847875834,0.264779806,0.270427108,0.522863328,-0.022127217,0.142635405,0.93857038,0.019452119,0.398784518,-0.071391672,0.368863285,0.347913831,0.320983857,0.365450889,0.562831044,0.36921379,0.458433539,0.263657272,0.498332798,0.802092135,,,
1009,1.752530575,0.250716358,0.283051878,0.510881305,-0.022454353,0.143570334,0.917434394,-0.00080401,0.36194545,-0.118671477,0.326495975,0.300554603,0.319745421,0.373335421,0.510873318,0.326703787,0.423797607,0.237682894,0.505347252,0.801221728,,,
1011,1.711101413,0.247470304,0.276884407,0.501370668,-0.026228212,0.143679515,0.902799904,-0.007113436,0.356507272,-0.146223441,0.311234176,0.246322021,0.33349973,0.387991101,0.478089035,0.294502079,0.426761001,0.207591057,0.512133062,0.841686547,,,
1013,1.72408855,0.265224308,0.27714476,0.515826225,-0.027748991,0.158401161,0.866713464,-0.018656131,0.379871428,-0.134194121,0.305835128,0.200094014,0.375304371,0.392484754,0.450575978,0.294146359,0.434694946,0.174175441,0.514310598,0.873650908,,,
1015,1.751013279,0.265188485,0.291895628,0.535354435,-0.038228147,0.17165406,0.825634897,-0.031933874,0.395802259,-0.116895147,0.294511527,0.158763289,0.408620566,0.389172405,0.428306669,0.294894814,0.43198669,0.168377295,0.513273239,0.864093006,,,
1017,1.739381313,0.248575732,0.313114882,0.543119431,-0.040412597,0.179799125,0.800747812,-0.055665985,0.4027794,-0.100432441,0.287279814,0.138025805,0.425484866,0.377321988,0.419722229,0.285564572,0.429749608,0.172804326,0.503718674,0.850959182,,,
1019,1.698276281,0.243537545,0.336697727,0.55027616,-0.035878889,0.173240438,0.782835722,-0.068945229,0.40935573,-0.085558057,0.281421334,0.150800318,0.41004017,0.381882787,0.440265298,0.261973232,0.416674286,0.185669065,0.506892264,0.834661126,,,
1021,1.681010365,0.262313783,0.347791791,0.568460047,-0.043489531,0.164756924,0.758183897,-0.055060428,0.404110938,-0.088865072,0.261325061,0.180553064,0.384726107,0.401131868,0.485438049,0.249785632,0.395781815,0.199438691,0.505572915,0.823699057,,,
1023,1.696435213,0.280013055,0.352819979,0.592211008,-0.046292413,0.161085352,0.767005503,-0.032326858,0.405424327,-0.101117499,0.247814208,0.20098564,0.369872659,0.437464654,0.526978076,0.250269294,0.386780113,0.209855393,0.506709218,0.827309191,,,
1025,1.723364234,0.286371291,0.369096756,0.616857946,-0.027449584,0.159793794,0.804150641,-0.015572935,0.410716087,-0.097187765,0.25836885,0.214920297,0.378949285,0.466235369,0.551466763,0.263034731,0.405293763,0.207889199,0.525413156,0.846082449,,,
1027,1.758582354,0.293896884,0.3651824,0.646235347,-0.020112116,0.15461354,0.817966402,-0.007314479,0.415601343,-0.088708058,0.279531866,0.251345158,0.385946333,0.473035038,0.586453736,0.261863589,0.434452474,0.195413113,0.534822583,0.865197718,,,
1029,1.773182154,0.318901449,0.35088861,0.657626927,-0.034338515,0.143299013,0.804427207,-0.00743938,0.398154974,-0.092388749,0.293790042,0.275521815,0.393922061,0.473299116,0.635994375,0.28074944,0.460567325,0.179906949,0.543375015,0.870835364,,,
1031,1.804558277,0.332956642,0.336485624,0.633649528,-0.043812171,0.146750316,0.788179338,-0.006273184,0.371337056,-0.081590101,0.302350789,0.276970267,0.39344731,0.467592776,0.642827272,0.317146778,0.449029148,0.171035767,0.557380974,0.875811934,,,
1033,1.84452045,0.330763489,0.331099063,0.614652574,-0.040884785,0.149102435,0.788566351,-0.011920651,0.360776186,-0.059743021,0.301417977,0.260317296,0.384215206,0.4476991,0.606572032,0.35046941,0.430166095,0.178312555,0.583168864,0.894520938,,,
1035,1.864434242,0.333100826,0.336247444,0.606804073,-0.048689432,0.158694744,0.80774194,-0.010551713,0.36988166,-0.050011419,0.312291086,0.252902478,0.379645348,0.427214801,0.553647995,0.354705632,0.409705371,0.176049605,0.609520257,0.921990573,,,
1037,1.863625884,0.330094546,0.358904272,0.601225853,-0.054152884,0.175174594,0.820758045,-0.025238207,0.394313008,-0.061915204,0.314363986,0.243803769,0.385298818,0.427354515,0.533137977,0.350714207,0.411879033,0.16571115,0.610610127,0.934264004,,,
1039,1.862767816,0.322764307,0.37659961,0.61311537,-0.045553349,0.19433248,0.821922779,-0.039436918,0.413075268,-0.088700175,0.299883693,0.235925898,0.400605738,0.434634119,0.521165013,0.346631497,0.424768686,0.161851302,0.587540448,0.926814198,,,
1041,1.897083044,0.301167071,0.372007102,0.639619231,-0.040954944,0.212964162,0.816189587,-0.040791921,0.420697033,-0.124696627,0.294211417,0.2386792,0.417823434,0.438023716,0.506970525,0.325273126,0.434496701,0.176567495,0.575544655,0.914738178,,,
1043,1.959497809,0.298381865,0.385439128,0.660529017,-0.048850205,0.228913218,0.8195467,-0.046297424,0.422665179,-0.121027917,0.320958108,0.250597596,0.428019762,0.423326701,0.50532186,0.282349527,0.446397424,0.180290967,0.575454414,0.916935027,,,
1045,2.017880201,0.300839603,0.418147832,0.679726481,-0.050459638,0.230956584,0.829823732,-0.030766452,0.433406174,-0.098647095,0.355965585,0.27045247,0.438639551,0.435020953,0.529324889,0.232222721,0.441589087,0.170660585,0.574671388,0.914610803,,,
1047,2.077924967,0.295426846,0.428732693,0.687437594,-0.048713934,0.230545133,0.843946218,-0.037613269,0.455376178,-0.072134376,0.37566632,0.300459594,0.456807017,0.462116957,0.564571679,0.217148215,0.432899863,0.175480425,0.566771328,0.90530324,,,
1049,2.166603565,0.326214075,0.417815775,0.683265209,-0.039105341,0.242251799,0.873722374,-0.072716154,0.499579847,-0.068006366,0.377074897,0.329848915,0.458516806,0.457295269,0.606219172,0.239364028,0.442635208,0.201247215,0.56750536,0.917168617,,,
1051,2.308561563,0.391342878,0.429859608,0.670309842,-0.014999178,0.252873182,0.914152861,-0.086403675,0.556886971,-0.084726967,0.401025325,0.381419122,0.444458693,0.441130221,0.6504094,0.267990232,0.485216439,0.237827748,0.565086007,0.938655674,,,
